time,position1-,position2-,v_1,v_2
65.34079232789132,60063017307.67327,135864796837.72769,-2354395823.857162,1083685607.065274
65.42413517524832,59866732260.49072,135954971604.28426,-2355906633.436812,1080261369.8913083
65.50747802260533,59670321508.52186,136044860900.0114,-2357412396.6472435,1076835090.5557897
65.59082086996233,59473785472.53395,136134464554.99933,-2358913110.923573,1073406776.6825724
65.67416371731933,59277124573.49185,136223782399.9774,-2360408773.713072,1069976435.89741
65.75750656467633,59080339232.55802,136312814266.31418,-2361899382.4751644,1066544075.8279551
65.84084941203334,58883429871.0925,136401559986.01735,-2363384934.6814322,1063109704.1037596
65.92419225939035,58686396910.65287,136490019391.73378,-2364865427.8156095,1059673328.3562738
66.00753510674735,58489240772.99444,136578192316.74948,-2366340859.373585,1056234956.218849
66.09087795410436,58291961880.06997,136666078594.98964,-2367811226.8634043,1052794595.3267337
66.17422080146136,58094560654.02987,136753678061.0186,-2369276527.805265,1049352253.3170766
66.25756364881836,57897037517.22214,136840990550.03987,-2370736759.731521,1045907937.8289249
66.34090649617536,57699392892.19234,136928015897.89613,-2372191920.18668,1042461656.5032257
66.42424934353237,57501627201.683655,137014753941.0692,-2373642006.727404,1039013416.9828244
66.50759219088937,57303740868.636856,137101204516.68008,-2375087016.922511,1035563226.9124664
66.59093503824639,57105734316.19025,137187367462.48895,-2376526948.352973,1032111093.938795
66.67427788560339,56907607967.67984,137273242616.8951,-2377961798.611915,1028657025.7103547
66.75762073296039,56709362246.639145,137358829818.937,-2379391565.30462,1025201029.8775873
66.84096358031739,56510997576.79927,137444128908.2923,-2380816246.048522,1021743114.0928346
66.9243064276744,56312514382.08894,137529139725.27783,-2382235838.4732122,1018283286.0103371
67.0076492750314,56113913086.63446,137613862110.84952,-2383650340.220435,1014821553.2862349
67.0909921223884,55915194114.75971,137698295906.6025,-2385059748.944091,1011357923.5785667
67.1743349697454,55716357890.98619,137782440954.7711,-2386464062.310233,1007892404.5472709
67.25767781710242,55517404840.03293,137866297098.22873,-2387863277.997071,1004425003.8541843
67.34102066445942,55318335386.816666,137949864180.488,-2389257393.6949673,1000955729.1630445
67.42436351181642,55119149956.45162,138033142045.70074,-2390646407.1064405,997484588.1394863
67.50770635917343,54919848974.24963,138116130538.65784,-2392030315.946163,994011588.4510448
67.59104920653043,54720432865.720146,138198829504.78937,-2393409117.940963,990536737.7671537
67.67439205388743,54520902056.570175,138281238790.16467,-2394782810.8298206,987060043.7591463
67.75773490124443,54321256972.70435,138363358241.4921,-2396151392.363874,983581514.1002545
67.84107774860145,54121498040.22483,138445187706.11926,-2397514860.3064137,980101156.4656093
