# t,q1,q2,p1,p2,H
4.267377896316052466e-01,7.835770491838072171e-01,1.392094488555924769e+00,-7.573272183690798798e+00,-4.422170873403315383e+00,2.943000000000256478e+01
4.300716786131021374e-01,7.736667733463002961e-01,1.385401060581600063e+00,-7.607809384940696695e+00,-4.465736491224036264e+00,2.943000000000157712e+01
4.334055675945990838e-01,7.637624254794155298e-01,1.378539243256253100e+00,-7.641550959239984842e+00,-4.509593281734874282e+00,2.943000000000536076e+01
4.367394565760959746e-01,7.538660489052392277e-01,1.371507353368668358e+00,-7.674493337686429051e+00,-4.553738128232548199e+00,2.943000000001151761e+01
4.400733455575929209e-01,7.439797101766914000e-01,1.364303742574093814e+00,-7.706633646783687119e+00,-4.598167250133773365e+00,2.943000000000635552e+01
4.434072345390898118e-01,7.341054993498505876e-01,1.356926797686643038e+00,-7.737969729024160692e+00,-4.642876183681101665e+00,2.942999999998743377e+01
4.467411235205867581e-01,7.242455302041894694e-01,1.349374940938427914e+00,-7.768500162788215313e+00,-4.687859763278634517e+00,2.942999999997740801e+01
4.500750125020836490e-01,7.144019404069551493e-01,1.341646630203993995e+00,-7.798224281489776644e+00,-4.733112103523168024e+00,2.942999999999704386e+01
4.534089014835805953e-01,7.045768916174904861e-01,1.333740359190515701e+00,-7.827142191907537239e+00,-4.778626581991035849e+00,2.943000000000325045e+01
4.567427904650774861e-01,6.947725695248060385e-01,1.325654657605090270e+00,-7.855254791688075500e+00,-4.824395822814956603e+00,2.943000000000176897e+01
4.600766794465744325e-01,6.849911838188005309e-01,1.317388091281979756e+00,-7.882563785873408335e+00,-4.870411681164060980e+00,2.943000000000691330e+01
4.634105684280713233e-01,6.752349680873463988e-01,1.308939262280612859e+00,-7.909071702415676697e+00,-4.916665228679658384e+00,2.943000000001628536e+01
4.667444574095682142e-01,6.655061796357970572e-01,1.300306808954664106e+00,-7.934781906614732705e+00,-4.963146739931217688e+00,2.943000000000926519e+01
4.700783463910651605e-01,6.558070992249148690e-01,1.291489405993576867e+00,-7.959698614410175566e+00,-5.009845679961853371e+00,2.942999999998060900e+01
4.734122353725620513e-01,6.461400307221812911e-01,1.282485764436627651e+00,-7.983826904431577276e+00,-5.056750693013142950e+00,2.942999999996347782e+01
4.767461243540589977e-01,6.365073006614964113e-01,1.273294631659272813e+00,-8.007172728708455978e+00,-5.103849592520561806e+00,2.942999999999235783e+01
4.800800133355558885e-01,6.269112577063488123e-01,1.263914791333603294e+00,-8.029742921956311008e+00,-5.151129352461290445e+00,2.943000000000311189e+01
4.834139023170528349e-01,6.173542720118133653e-01,1.254345063380650549e+00,-8.051545209462044994e+00,-5.198576100069040251e+00,2.943000000000229122e+01
4.867477912985497257e-01,6.078387344800181280e-01,1.244584303895343691e+00,-8.072588213323225403e+00,-5.246175110103459716e+00,2.943000000000567695e+01
4.900816802800466720e-01,5.983670559021323498e-01,1.234631405060697462e+00,-8.092881457020737912e+00,-5.293910800721448595e+00,2.943000000000899519e+01
4.934155692615435629e-01,5.889416659821757882e-01,1.224485295055527390e+00,-8.112435368245730416e+00,-5.341766731031311721e+00,2.942999999999975813e+01
4.967494582430405092e-01,5.795650122367107526e-01,1.214144937959920068e+00,-8.131261279880193982e+00,-5.389725600427577312e+00,2.942999999998347249e+01
5.000833472245374001e-01,5.702395587623083628e-01,1.203609333664015235e+00,-8.149371429008503753e+00,-5.437769249821990059e+00,2.942999999998799510e+01
5.034172362060342909e-01,5.609677848626488661e-01,1.192877517785284835e+00,-8.166778953834231913e+00,-5.485878664888253375e+00,2.943000000000278860e+01
5.067511251875311817e-01,5.517521835303265121e-01,1.181948561608687998e+00,-8.183497888470670389e+00,-5.534033981373685407e+00,2.943000000000237293e+01
5.100850141690281836e-01,5.425952597746964701e-01,1.170821572057586080e+00,-8.199543155482318824e+00,-5.582214492594563815e+00,2.943000000000277083e+01
5.134189031505250744e-01,5.334995287833047550e-01,1.159495691699743203e+00,-8.214930555983826821e+00,-5.630398659283388341e+00,2.943000000000295557e+01
5.167527921320219653e-01,5.244675139102906725e-01,1.147970098809008688e+00,-8.229676757274209109e+00,-5.678564121837781364e+00,2.942999999999949523e+01
5.200866811135188561e-01,5.155017444818845718e-01,1.136244007492455577e+00,-8.243799277873756992e+00,-5.726687715096034026e+00,2.942999999999513960e+01
