q,p,q_dot,p_dot,total_energy
0.8143042086838493,-1.0945670714873432,-10.945670714873431,0.8759579131615065,6.961632433203405
0.7869606240268154,-1.09203349293483,-10.9203349293483,1.1493937597318455,6.961622999202754
0.7596847997794057,-1.088823838863995,-10.88823838863995,1.4221520022059424,6.961694526261553
0.7324906927016773,-1.084939808131213,-10.84939808131213,1.6940930729832269,6.961851453335453
0.7053970409818948,-1.080382966411284,-10.80382966411284,1.9650295901810517,6.962085785072584
0.6784223176494387,-1.0751553126036086,-10.751553126036086,2.234776823505613,6.96238805364271
0.6515847305748054,-1.069259278832188,-10.692592788321878,2.5031526942519466,6.9627476473806915
0.624902222469607,-1.0626977304456238,-10.626977304456236,2.7699777753039294,6.963153125255284
0.5983924708865721,-1.0554739660171186,-10.554739660171185,3.0350752911342793,6.963592515842219
0.5720728882195445,-1.0475917173444753,-10.475917173444753,3.298271117804555,6.964053599570921
0.5459606217034847,-1.039055149450098,-10.39055149450098,3.559393782965153,6.964524173104375
0.5200725534144683,-1.0298688605809905,-10.298688605809904,3.8182744658553167,6.964992294802073
0.4944253002696878,-1.0200378822087581,-10.20037882208758,4.074746997303122,6.965446510306183
0.46903521402745096,-1.0095676790296064,-10.095676790296064,4.328647859725491,6.965876057381435
0.44391838128718153,-0.9984641489643418,-9.984641489643417,4.579816187128185,6.966271049229503
0.4190906234894192,-0.9867336231583708,-9.867336231583707,4.828093765105809,6.966622635588907
0.39456749691582016,-0.9743828659817012,-9.743828659817012,5.073325030841799,6.966923141021866
0.3703642926891559,-0.9614190750289413,-9.614190750289412,5.315357073108441,6.967166179879721
0.34649603677331414,-0.9478498811192998,-9.478498811192997,5.554039632266859,6.967346747528903
0.3229774899732982,-0.9336833482965861,-9.33683348296586,5.789225100267018,6.967461287509703
0.2998231479352278,-0.9189279738292102,-9.189279738292102,6.020768520647723,6.9675077343904155
0.2770472411463385,-0.9035926882101831,-9.035926882101831,6.248527588536615,6.967485532169686
0.2546637349349813,-0.887686855157116,-8.876868551571159,6.4723626506501875,6.9673956281702285
0.23268632947062362,-0.871220271612221,-8.71220271612221,6.692136705293764,6.967240442457364
0.21112845976384897,-0.8542031677423106,-8.542031677423106,6.907715402361511,6.967023812906113
0.19000329566635632,-0.8366462069387983,-8.366462069387982,7.118967043336436,6.966750916130909
0.1693237418709611,-0.818560485817698,-8.18560485817698,7.325762581290389,6.966428164582251
0.14910243791159405,-0.7999575342196241,-7.999575342196241,7.52797562088406,6.9660630802049415
0.12935175816330235,-0.7808493152097918,-7.808493152097918,7.725482418366976,6.965664145142867
0.11008381184224869,-0.7612482250780171,-7.612482250780171,7.918161881577513,6.965240630065514
0.09131044300571223,-0.7411670933387164,-7.411670933387164,8.105895569942877,6.964802400781786
0.07304323055208795,-0.720619182730907,-7.20619182730907,8.28856769447912,6.964359703896947
0.05529348822088631,-0.6996181892182064,-6.996181892182063,8.466065117791137,6.963922932358804
0.03807226459273383,-0.6781782419888331,-6.781782419888331,8.638277354072661,6.96350237182955
0.021390343089373376,-0.6563139034556059,-6.563139034556059,8.805096569106267,6.963107928910019
0.005258241973663869,-0.634040169255945,-6.34040169255945,8.96641758026336,6.962748842333331
-0.010313785650420848,-0.6113724682518704,-6.113724682518704,9.122137856504208,6.962433378335281
-0.02531575183778978,-0.5883266625300031,-5.88326662530003,9.272157518377897,6.9621685114990495
-0.03973793380223656,-0.5649190474015645,-5.6491904740156444,9.416379338022365,6.961959592462181
-0.05357087391643922,-0.5411663514023773,-5.411663514023773,9.554708739164393,6.961810003964029
-0.06680537971195943,-0.5170857362928641,-5.170857362928641,9.687053797119594,6.961720806802124
-0.07943252387924249,-0.4926947970580483,-4.926947970580483,9.813325238792425,6.961690377356376
